date,oecd_diffusion_return
1960-02-29,0.000987137547855621
1960-03-31,-0.015870969289987213
1960-04-30,0.0005579086911724485
1960-05-31,0.002744452740418124
1960-06-30,0.002146639696044783
1960-07-31,0.0018245951472215527
1960-08-31,0.002098531497864542
1960-09-30,0.0020679064126720714
1960-10-31,-0.00442416040488236
1960-11-30,0.04026974246970605
1960-12-31,0.0462729501703294
1961-01-31,0.06315605111681166
1961-02-28,0.02686953512806478
1961-03-31,0.025535923186523535
1961-04-30,0.0038426069686650077
1961-05-31,0.01913948930833409
1961-06-30,-0.0288461273943873
1961-07-31,0.03279707250309083
1961-08-31,0.00018124333208469068
1961-09-30,0.0018126699741287666
1961-10-31,0.0019172243095495478
1961-11-30,0.001966914475851844
1961-12-31,0.0020679014507769544
1962-01-31,0.0023768985951833077
1962-02-28,0.001953784417572546
1962-03-31,0.0023800804256903785
1962-04-30,0.002168500345835378
1962-05-31,0.002346671924658761
1962-06-30,0.0022758754697327355
1962-07-31,0.002437745961751059
1962-08-31,0.0025797648018146546
1962-09-30,0.002094933170903479
1962-10-31,0.0023959896110521406
1962-11-30,0.0021362856776665495
1962-12-31,0.011464827736636707
1963-01-31,0.04912834467646565
1963-02-28,-0.028851905147490253
1963-03-31,0.03546428288736014
1963-04-30,0.0485204051635999
1963-05-31,0.01432664693808805
1963-06-30,-0.02019774355278492
1963-07-31,-0.00345978785730805
1963-08-31,0.048748775936272803
1963-09-30,-0.011034524851831873
1963-10-31,0.03221764694991314
1963-11-30,-0.010539099537669294
1963-12-31,0.024443441268303223
1964-01-31,0.02692621118169103
1964-02-29,0.009865032803722196
1964-03-31,0.015167098443309879
1964-04-30,0.006077433617846628
1964-05-31,0.011452349264967854
1964-06-30,0.01642403446204166
1964-07-31,0.018239659924582208
1964-08-31,-0.0162298445439788
1964-09-30,0.028718054766427414
1964-10-31,0.008077931844982622
1964-11-30,0.0006003701404391215
1964-12-31,0.003353371069036104
1965-01-31,0.003025768731959033
1965-02-28,-0.003481695551947772
1965-03-31,-0.014525867993062658
1965-04-30,0.034238588937519854
1965-05-31,0.0010856496191038456
1965-06-30,0.0033266990440317112
1965-07-31,0.003200900471201251
1965-08-31,0.0033601387238895164
1965-09-30,0.0032749376566816313
1965-10-31,0.025290786030337964
1965-11-30,-0.008764310480866233
1965-12-31,0.008950984492533065
1966-01-31,0.004868516139309609
1966-02-28,-0.017872481500894377
1966-03-31,-0.021815367651166873
1966-04-30,0.02050873173611678
1966-05-31,-0.05414013219145386
1966-06-30,0.0019276767161391373
1966-07-31,0.0038144335966781018
1966-08-31,0.004536798741895609
1966-09-30,0.004482555926403897
1966-10-31,0.00425181720036516
1966-11-30,0.004018342880148573
1966-12-31,0.004145462483461815
1967-01-31,0.0039407091217020795
1967-02-28,0.0032629535441419666
1967-03-31,0.0037248596506507248
1967-04-30,0.003050044869542745
1967-05-31,-0.05433634924755759
1967-06-30,0.017512320683966243
1967-07-31,0.04534422592704601
1967-08-31,-0.01171504601954132
1967-09-30,0.03278513151254425
1967-10-31,-0.03526001514834398
1967-11-30,0.007502646573911198
1967-12-31,0.026276608730884554
1968-01-31,-0.04384786258327311
1968-02-29,-0.031222867737611182
1968-03-31,0.00940013800529571
1968-04-30,0.08048783128447701
1968-05-31,0.0029394532010105223
1968-06-30,0.007102163762154667
1968-07-31,-0.018477645445385993
1968-08-31,0.011459001136290947
1968-09-30,0.03853932364021073
1968-10-31,0.007207611827813709
1968-11-30,0.04796440294770066
1968-12-31,-0.041616702241642045
1969-01-31,-0.0081840792328709
1969-02-28,-0.04737408777410457
1969-03-31,0.03444415548166968
1969-04-30,0.021475719232575186
1969-05-31,-0.0022181825780506204
1969-06-30,-0.05557703509455114
1969-07-31,-0.06017805044020719
1969-08-31,0.0038227333422826693
1969-09-30,0.005924985960138018
1969-10-31,0.006127770712587299
1969-11-30,0.004896165781874462
1969-12-31,0.006846877921237837
1970-01-31,0.006577258405973119
1970-02-28,0.005103527095268401
1970-03-31,0.005536367675309295
1970-04-30,0.005701169179125554
1970-05-31,0.005713901755376449
1970-06-30,0.005844813728796083
1970-07-31,0.0056461112414012415
1970-08-31,0.005356073412591922
1970-09-30,0.005116391208195514
1970-10-31,0.0049337765706649606
1970-11-30,0.045352515968116736
1970-12-31,0.05676610952836114
1971-01-31,0.04047743533125803
1971-02-28,0.009073871208845619
1971-03-31,0.036795840398901714
1971-04-30,0.03628750352149335
1971-05-31,-0.0415584398427179
1971-06-30,-0.009334541110246897
1971-07-31,-0.03161089375538306
1971-08-31,0.03609538483102681
1971-09-30,-0.006967610319212891
1971-10-31,-0.041793706874213576
1971-11-30,-0.00254701777155808
1971-12-31,0.08617936650941616
1972-01-31,0.018121325985678283
1972-02-29,0.025303032438358075
1972-03-31,0.005911581638566643
1972-04-30,0.004384339870177945
1972-05-31,0.01727501292823508
1972-06-30,-0.021820500468226145
1972-07-31,0.0023333955705084897
1972-08-31,0.03445383154177506
1972-09-30,-0.00486086329943114
1972-10-31,0.009317039808806493
1972-11-30,0.04561746060550753
1972-12-31,0.0118282755161625
1973-01-31,-0.01711142922694675
1973-02-28,-0.03749029147535643
1973-03-31,-0.0014326975436262934
1973-04-30,-0.04079981670844279
1973-05-31,-0.018883838921280427
1973-06-30,0.003992792019825275
1973-07-31,0.006695859759777489
1973-08-31,0.00794631267451873
1973-09-30,0.006265335813158801
1973-10-31,0.0060319402071389305
1973-11-30,0.006234657017534895
1973-12-31,0.005634427294042066
1974-01-31,0.0068053389531030906
1974-02-28,0.005100338647363589
